bookId,title,author,Year,Price$
428,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,2013,16
256,Giraffes Can't Dance,Giles Andreae,2015,4
129,Giraffes Can't Dance,Giles Andreae,2016,4
132,Giraffes Can't Dance,Giles Andreae,2017,4
377,Giraffes Can't Dance,Giles Andreae,2018,4
419,Giraffes Can't Dance,Giles Andreae,2019,4
205,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,2019,12
314,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,2018,12
373,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,2019,12
89,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,2009,11
127,Go Set a Watchman: A Novel,Harper Lee,2015,19
143,Go the F**k to Sleep,Adam Mansbach,2011,9
42,Going Rogue: An American Life,Sarah Palin,2009,6
420,Gone Girl,Gillian Flynn,2012,10
45,Gone Girl,Gillian Flynn,2013,10
167,Gone Girl,Gillian Flynn,2014,9
416,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,2019,6
86,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2009,14
346,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2010,14
344,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2011,14
485,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2012,14
142,Goodnight Moon,Margaret Wise Brown,2017,5
34,Goodnight Moon,Margaret Wise Brown,2018,5
93,Goodnight Moon,Margaret Wise Brown,2019,5
155,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,2012,7
41,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,2013,7
92,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,2014,10
67,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,2015,14
357,Guts,Raina Telgemeier,2019,7
486,Hamilton: The Revolution,Lin-Manuel Miranda,2016,54
